Drug	Gene	Guideline	CPIC Level	ClinPGx Level of Evidence	PGx on FDA Label	CPIC Publications (PMID)
carvedilol	GRK4	https://www.clinpgx.org/guideline/PA166343383	C			38951961
carvedilol	GRK5	https://www.clinpgx.org/guideline/PA166343383	C			38951961
chloramphenicol	G6PD	https://www.clinpgx.org/guideline/PA166251450	C	3		36049896
chloroquine	G6PD	https://www.clinpgx.org/guideline/PA166251450	C	4	Actionable PGx	36049896
chlorpropamide	G6PD	https://www.clinpgx.org/guideline/PA166251450	C		Actionable PGx	36049896
ciprofloxacin	G6PD	https://www.clinpgx.org/guideline/PA166251450	C	3		36049896
citalopram	CYP2D6	https://www.clinpgx.org/guideline/PA166251452	C	3	No Clinical PGx	37032427
citalopram	HTR2A	https://www.clinpgx.org/guideline/PA166251452	C	3		37032427
citalopram	SLC6A4	https://www.clinpgx.org/guideline/PA166251452	C	4		37032427
codeine	COMT	https://www.clinpgx.org/guideline/PA166251454	C			33387367
codeine	OPRM1	https://www.clinpgx.org/guideline/PA166251454	C	3		33387367
dabrafenib	G6PD	https://www.clinpgx.org/guideline/PA166251450	C		Actionable PGx	36049896
desvenlafaxine	HTR2A	https://www.clinpgx.org/guideline/PA166251452	C			37032427
desvenlafaxine	SLC6A4	https://www.clinpgx.org/guideline/PA166251452	C			37032427
diclofenac	CYP2C8	https://www.clinpgx.org/guideline/PA166251464	C	3		32189324
diclofenac	CYP2C9	https://www.clinpgx.org/guideline/PA166251464	C	3		32189324
dimercaprol	G6PD	https://www.clinpgx.org/guideline/PA166251450	C	3		36049896
doxorubicin	G6PD	https://www.clinpgx.org/guideline/PA166251450	C			36049896
duloxetine	CYP2C19	https://www.clinpgx.org/guideline/PA166251452	C			37032427
duloxetine	CYP2D6	https://www.clinpgx.org/guideline/PA166251452	C		Informative PGx	37032427
duloxetine	HTR2A	https://www.clinpgx.org/guideline/PA166251452	C			37032427
duloxetine	SLC6A4	https://www.clinpgx.org/guideline/PA166251452	C			37032427
escitalopram	CYP2D6	https://www.clinpgx.org/guideline/PA166251452	C	3		37032427
escitalopram	HTR2A	https://www.clinpgx.org/guideline/PA166251452	C	3		37032427
escitalopram	SLC6A4	https://www.clinpgx.org/guideline/PA166251452	C	4		37032427
esmolol	ADRA2C	https://www.clinpgx.org/guideline/PA166343383	C			38951961
esmolol	ADRB1	https://www.clinpgx.org/guideline/PA166343383	C			38951961
esmolol	GRK4	https://www.clinpgx.org/guideline/PA166343383	C			38951961
esmolol	GRK5	https://www.clinpgx.org/guideline/PA166343383	C			38951961
esomeprazole	CYP2C19	https://www.clinpgx.org/guideline/PA166251441	C	3	No Clinical PGx	32770672
fentanyl	COMT	https://www.clinpgx.org/guideline/PA166251454	C	3		33387367
fentanyl	OPRM1	https://www.clinpgx.org/guideline/PA166251454	C	3		33387367
fluoxetine	CYP2C19	https://www.clinpgx.org/guideline/PA166251452	C			37032427
fluoxetine	CYP2D6	https://www.clinpgx.org/guideline/PA166251452	C	3	Actionable PGx	37032427
fluoxetine	HTR2A	https://www.clinpgx.org/guideline/PA166251452	C	4		37032427
fluoxetine	SLC6A4	https://www.clinpgx.org/guideline/PA166251452	C	3		37032427
fluvastatin	CYP3A4	https://www.clinpgx.org/guideline/PA166264281	C	3		
fluvastatin	CYP3A5	https://www.clinpgx.org/guideline/PA166264281	C			
fluvastatin	HMGCR	https://www.clinpgx.org/guideline/PA166264281	C	3		
fluvoxamine	CYP2C19	https://www.clinpgx.org/guideline/PA166251452	C			37032427
fluvoxamine	HTR2A	https://www.clinpgx.org/guideline/PA166251452	C	4		37032427
fluvoxamine	SLC6A4	https://www.clinpgx.org/guideline/PA166251452	C	3		37032427
furazolidone	G6PD	https://www.clinpgx.org/guideline/PA166251450	C			36049896
gliclazide	G6PD	https://www.clinpgx.org/guideline/PA166251450	C			36049896
glimepiride	G6PD	https://www.clinpgx.org/guideline/PA166251450	C		Actionable PGx	
glipizide	G6PD	https://www.clinpgx.org/guideline/PA166251450	C		Actionable PGx	36049896
glyburide	G6PD	https://www.clinpgx.org/guideline/PA166251450	C	3	Actionable PGx	36049896
hydrocodone	COMT	https://www.clinpgx.org/guideline/PA166251454	C			33387367
hydrocodone	OPRM1	https://www.clinpgx.org/guideline/PA166251454	C	3		33387367
hydromorphone	COMT	https://www.clinpgx.org/guideline/PA166251454	C			33387367
hydromorphone	OPRM1	https://www.clinpgx.org/guideline/PA166251454	C			33387367
hydroxychloroquine	G6PD	https://www.clinpgx.org/guideline/PA166251450	C		Actionable PGx	36049896
ibuprofen	CYP2C8	https://www.clinpgx.org/guideline/PA166251464	C	3		32189324
indomethacin	CYP2C9	https://www.clinpgx.org/guideline/PA166251464	C	3		32189324
labetalol	ADRA2C	https://www.clinpgx.org/guideline/PA166343383	C			38951961
labetalol	ADRB1	https://www.clinpgx.org/guideline/PA166343383	C			38951961
labetalol	ADRB2	https://www.clinpgx.org/guideline/PA166343383	C			38951961
labetalol	GRK4	https://www.clinpgx.org/guideline/PA166343383	C			38951961
labetalol	GRK5	https://www.clinpgx.org/guideline/PA166343383	C			38951961
levomethadone	COMT	https://www.clinpgx.org/guideline/PA166251454	C			33387367
levomethadone	OPRM1	https://www.clinpgx.org/guideline/PA166251454	C			33387367
levomilnacipran	HTR2A	https://www.clinpgx.org/guideline/PA166251452	C			37032427
levomilnacipran	SLC6A4	https://www.clinpgx.org/guideline/PA166251452	C			37032427
lovastatin	CYP3A4	https://www.clinpgx.org/guideline/PA166264281	C			
lovastatin	CYP3A5	https://www.clinpgx.org/guideline/PA166264281	C	3		
lovastatin	HMGCR	https://www.clinpgx.org/guideline/PA166264281	C	3		
lumiracoxib	CYP2C9	https://www.clinpgx.org/guideline/PA166251464	C			32189324
mafenide	G6PD	https://www.clinpgx.org/guideline/PA166251450	C		Informative PGx	36049896
mepacrine	G6PD	https://www.clinpgx.org/guideline/PA166251450	C			36049896
mesalazine	G6PD	https://www.clinpgx.org/guideline/PA166251450	C			36049896
methadone	COMT	https://www.clinpgx.org/guideline/PA166251454	C	3		33387367
methadone	CYP2B6	https://www.clinpgx.org/guideline/PA166411641	C	2A		38863207
methadone	CYP2D6	https://www.clinpgx.org/guideline/PA166251454	C	3		33387367
methadone	OPRM1	https://www.clinpgx.org/guideline/PA166251454	C	3		33387367
metoprolol	ADRA2C	https://www.clinpgx.org/guideline/PA166343383	C			38951961
metoprolol	ADRB1	https://www.clinpgx.org/guideline/PA166343383	C	3		38951961
metoprolol	GRK4	https://www.clinpgx.org/guideline/PA166343383	C	3		38951961
metoprolol	GRK5	https://www.clinpgx.org/guideline/PA166343383	C			38951961
milnacipran	HTR2A	https://www.clinpgx.org/guideline/PA166251452	C			37032427
milnacipran	SLC6A4	https://www.clinpgx.org/guideline/PA166251452	C			37032427
morphine	COMT	https://www.clinpgx.org/guideline/PA166251454	C	3		33387367
morphine	OPRM1	https://www.clinpgx.org/guideline/PA166251454	C	3		33387367
moxifloxacin	G6PD	https://www.clinpgx.org/guideline/PA166251450	C			36049896
nabumetone	CYP2C9	https://www.clinpgx.org/guideline/PA166251464	C			32189324
nadolol	ADRA2C	https://www.clinpgx.org/guideline/PA166343383	C			38951961
nadolol	ADRB1	https://www.clinpgx.org/guideline/PA166343383	C			38951961
nadolol	ADRB2	https://www.clinpgx.org/guideline/PA166343383	C			38951961
nadolol	GRK4	https://www.clinpgx.org/guideline/PA166343383	C			38951961
nadolol	GRK5	https://www.clinpgx.org/guideline/PA166343383	C			38951961
nalidixic acid	G6PD	https://www.clinpgx.org/guideline/PA166251450	C		Actionable PGx	36049896
naltrexone	COMT	https://www.clinpgx.org/guideline/PA166251454	C			33387367
naltrexone	OPRM1	https://www.clinpgx.org/guideline/PA166251454	C	4		33387367
naproxen	CYP2C9	https://www.clinpgx.org/guideline/PA166251464	C	3		32189324
nebivolol	ADRA2C	https://www.clinpgx.org/guideline/PA166343383	C			38951961
nebivolol	ADRB1	https://www.clinpgx.org/guideline/PA166343383	C			38951961
nebivolol	CYP2D6	https://www.clinpgx.org/guideline/PA166343383	C		No Clinical PGx	38951961
nebivolol	GRK4	https://www.clinpgx.org/guideline/PA166343383	C			38951961
nebivolol	GRK5	https://www.clinpgx.org/guideline/PA166343383	C			38951961
nicorandil	G6PD	https://www.clinpgx.org/guideline/PA166251450	C			36049896
nitrofural	G6PD	https://www.clinpgx.org/guideline/PA166251450	C			36049896
norfloxacin	G6PD	https://www.clinpgx.org/guideline/PA166251450	C		Informative PGx	36049896
ofloxacin	G6PD	https://www.clinpgx.org/guideline/PA166251450	C			36049896
oxcarbazepine	HLA-A	https://www.clinpgx.org/guideline/PA166251448	C	3		29392710
oxycodone	COMT	https://www.clinpgx.org/guideline/PA166251454	C	3		33387367
oxycodone	CYP2D6	https://www.clinpgx.org/guideline/PA166251454	C	2A		33387367
oxycodone	OPRM1	https://www.clinpgx.org/guideline/PA166251454	C	3		33387367
paroxetine	CYP2C19	https://www.clinpgx.org/guideline/PA166251452	C			37032427
paroxetine	HTR2A	https://www.clinpgx.org/guideline/PA166251452	C	3		37032427
paroxetine	SLC6A4	https://www.clinpgx.org/guideline/PA166251452	C	3		37032427
phenazopyridine	G6PD	https://www.clinpgx.org/guideline/PA166251450	C	3		36049896
pindolol	ADRA2C	https://www.clinpgx.org/guideline/PA166343383	C			38951961
pindolol	ADRB1	https://www.clinpgx.org/guideline/PA166343383	C			38951961
pindolol	ADRB2	https://www.clinpgx.org/guideline/PA166343383	C			38951961
pindolol	GRK4	https://www.clinpgx.org/guideline/PA166343383	C			38951961
pindolol	GRK5	https://www.clinpgx.org/guideline/PA166343383	C			38951961
pitavastatin	CYP3A4	https://www.clinpgx.org/guideline/PA166264281	C			
pitavastatin	CYP3A5	https://www.clinpgx.org/guideline/PA166264281	C			
pitavastatin	HMGCR	https://www.clinpgx.org/guideline/PA166264281	C			
pravastatin	CYP3A4	https://www.clinpgx.org/guideline/PA166264281	C			
pravastatin	CYP3A5	https://www.clinpgx.org/guideline/PA166264281	C			
probenecid	G6PD	https://www.clinpgx.org/guideline/PA166251450	C		Informative PGx	36049896
propranolol	ADRA2C	https://www.clinpgx.org/guideline/PA166343383	C			38951961
propranolol	ADRB1	https://www.clinpgx.org/guideline/PA166343383	C			38951961
propranolol	ADRB2	https://www.clinpgx.org/guideline/PA166343383	C	3		38951961
propranolol	CYP2D6	https://www.clinpgx.org/guideline/PA166343383	C	4	No Clinical PGx	38951961
propranolol	GRK4	https://www.clinpgx.org/guideline/PA166343383	C			38951961
propranolol	GRK5	https://www.clinpgx.org/guideline/PA166343383	C			38951961
quinine	G6PD	https://www.clinpgx.org/guideline/PA166251450	C		Actionable PGx	36049896
rabeprazole	CYP2C19	https://www.clinpgx.org/guideline/PA166251441	C	2A	Informative PGx	32770672
remifentanil	COMT	https://www.clinpgx.org/guideline/PA166251454	C	3		33387367
remifentanil	OPRM1	https://www.clinpgx.org/guideline/PA166251454	C	3		33387367
rosuvastatin	CYP3A4	https://www.clinpgx.org/guideline/PA166264281	C			
rosuvastatin	CYP3A5	https://www.clinpgx.org/guideline/PA166264281	C	3		
rosuvastatin	HMGCR	https://www.clinpgx.org/guideline/PA166264281	C			
sertraline	CYP2D6	https://www.clinpgx.org/guideline/PA166251452	C	3		37032427
sertraline	HTR2A	https://www.clinpgx.org/guideline/PA166251452	C	4		37032427
sertraline	SLC6A4	https://www.clinpgx.org/guideline/PA166251452	C	4		37032427
simvastatin	CYP3A4	https://www.clinpgx.org/guideline/PA166264281	C	3		
simvastatin	CYP3A5	https://www.clinpgx.org/guideline/PA166264281	C	4		
sodium nitrite	G6PD	https://www.clinpgx.org/guideline/PA166251450	C		Actionable PGx	36049896
sotalol	ADRA2C	https://www.clinpgx.org/guideline/PA166343383	C			38951961
sotalol	ADRB1	https://www.clinpgx.org/guideline/PA166343383	C			38951961
sotalol	ADRB2	https://www.clinpgx.org/guideline/PA166343383	C			38951961
sotalol	GRK4	https://www.clinpgx.org/guideline/PA166343383	C			38951961
sotalol	GRK5	https://www.clinpgx.org/guideline/PA166343383	C			38951961
sufentanil	COMT	https://www.clinpgx.org/guideline/PA166251454	C	3		33387367
sufentanil	OPRM1	https://www.clinpgx.org/guideline/PA166251454	C	3		33387367
sulfacetamide	G6PD	https://www.clinpgx.org/guideline/PA166251450	C			36049896
sulfadiazine	G6PD	https://www.clinpgx.org/guideline/PA166251450	C		Informative PGx	36049896
sulfadimidine	G6PD	https://www.clinpgx.org/guideline/PA166251450	C			36049896
sulfamethoxazole / trimethoprim	G6PD	https://www.clinpgx.org/guideline/PA166251450	C	4	Informative PGx	36049896
sulfanilamide	G6PD	https://www.clinpgx.org/guideline/PA166251450	C			36049896
sulfasalazine	G6PD	https://www.clinpgx.org/guideline/PA166251450	C	3	Actionable PGx	36049896
sulfisoxazole	G6PD	https://www.clinpgx.org/guideline/PA166251450	C			36049896
tegafur	DPYD	https://www.clinpgx.org/guideline/PA166251462	C	1A		23988873,29152729
tolazamide	G6PD	https://www.clinpgx.org/guideline/PA166251450	C		Actionable PGx	36049896
tolbutamide	G6PD	https://www.clinpgx.org/guideline/PA166251450	C		Actionable PGx	36049896
tramadol	COMT	https://www.clinpgx.org/guideline/PA166251454	C	3		33387367
tramadol	OPRM1	https://www.clinpgx.org/guideline/PA166251454	C	3		33387367
trametinib	G6PD	https://www.clinpgx.org/guideline/PA166251450	C			36049896
venlafaxine	CYP2C19	https://www.clinpgx.org/guideline/PA166251452	C	3		37032427
venlafaxine	HTR2A	https://www.clinpgx.org/guideline/PA166251452	C	3		37032427
venlafaxine	SLC6A4	https://www.clinpgx.org/guideline/PA166251452	C	4		37032427
vilazodone	HTR2A	https://www.clinpgx.org/guideline/PA166251452	C			37032427
vilazodone	SLC6A4	https://www.clinpgx.org/guideline/PA166251452	C			37032427
vitamin c	G6PD	https://www.clinpgx.org/guideline/PA166251450	C			36049896
vitamin k	G6PD	https://www.clinpgx.org/guideline/PA166251450	C			36049896
vortioxetine	CYP2C19	https://www.clinpgx.org/guideline/PA166251452	C			37032427
vortioxetine	HTR2A	https://www.clinpgx.org/guideline/PA166251452	C			37032427
vortioxetine	SLC6A4	https://www.clinpgx.org/guideline/PA166251452	C			37032427